,#Gc,logAge,[M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,TESS,J,H,Ks,Mact
0,1,6.97,0.17,0.16077,-1.828,3.502,4.427,9.9,0.034,0.0,19.239,18.986,17.332,16.813,16.563,0.161
1,1,7.03,0.29,0.72612,-0.847,3.648,4.684,9.4,0.032,0.0,16.288,15.731,14.754,14.122,14.024,0.726
2,1,7.43,0.41,0.53234,-1.327,3.596,4.823,9.4,0.032,0.0,17.487,17.04,15.771,15.104,14.97,0.532
3,1,7.47,-0.15,0.6395,-0.995,3.64,4.746,9.7,0.034,0.0,16.957,16.413,15.424,14.774,14.671,0.639
4,1,7.49,0.23,0.18001,-2.099,3.516,4.801,10.1,0.035,0.0,20.117,19.821,18.24,17.714,17.472,0.18
5,1,7.57,-0.17,0.20355,-2.196,3.55,5.091,5.7,0.01,0.0,15.96,15.539,14.178,13.625,13.398,0.204
6,1,7.57,0.01,0.77819,-0.676,3.673,4.645,10.6,0.037,0.0,17.059,16.478,15.614,15.049,14.967,0.778
7,1,7.57,0.29,0.34283,-1.806,3.56,4.964,6.4,0.014,0.0,15.685,15.265,13.892,13.327,13.121,0.343
8,1,7.59,0.11,0.16377,-2.004,3.508,4.636,11.2,0.037,0.0,20.98,20.709,19.087,18.564,18.318,0.164
9,1,7.59,0.17,0.15378,-1.94,3.498,4.503,9.7,0.034,0.0,19.319,19.079,17.402,16.885,16.632,0.154
10,1,7.61,0.13,0.17596,-2.094,3.516,4.788,11.2,0.037,0.0,21.205,20.909,19.33,18.802,18.561,0.176
11,1,7.63,0.23,0.41037,-1.626,3.572,4.91,8.6,0.028,0.0,17.436,17.005,15.65,15.072,14.892,0.41
12,1,7.65,0.15,0.3068,-1.9,3.555,4.99,10.9,0.037,0.0,20.421,20.019,18.635,18.074,17.855,0.307
13,1,7.65,0.33,0.14669,-1.972,3.493,4.494,9.4,0.032,0.0,19.099,18.876,17.169,16.653,16.397,0.147
14,1,7.69,-0.19,0.12368,-2.099,3.503,4.588,9.3,0.032,0.0,19.318,19.052,17.429,16.892,16.644,0.124
15,1,7.71,0.47,0.13816,-2.061,3.49,4.545,9.3,0.032,0.0,19.223,19.011,17.285,16.769,16.512,0.138
16,1,7.73,-0.03,0.55224,-1.249,3.61,4.814,8.9,0.03,0.0,16.794,16.278,15.163,14.504,14.379,0.552
17,1,7.73,0.25,0.29768,-1.931,3.551,4.992,9.1,0.031,0.0,18.698,18.302,16.906,16.35,16.122,0.298
